CM-514|30.33|27.30
CM-515|29.61|26.65
CM-516|29.44|26.50
CM-517|40.24|36.22
CM-518|44.68|40.21
CM-519|44.80|40.32
CM-521|47.42|42.68
CM-522|47.27|42.55
CM-523|50.65|45.59
CM-524|51.09|45.99
CM-539|27.93|25.13
CM-540|29.54|26.58
CM-543|43.52|39.17
CM-544|43.52|39.17
CM-545|46.60|41.94
CM-546|47.12|42.41
CM-550|18.51|16.66
CM-551|18.51|16.66
CM-552|18.73|16.86
CM-553|19.27|17.35
CM-557|25.58|23.03
CM-558|25.69|23.12
CM-559|26.85|24.16
CM-560|30.14|27.12
CM-561|28.49|25.64
CM-563|29.09|26.18
CM-566|40.12|36.11
CM-568|44.33|39.90
CM-570|47.06|42.35
CM-571|44.50|40.05
CM-572|49.10|44.19
CM-573|47.96|43.16
CM-586|26.22|23.60
CM-588|28.38|25.55
CM-590|28.60|25.74
CM-577|14.64|13.17
CM-579|18.49|16.64
CM-580|19.26|17.34
CM-581|19.84|17.86
CM-584|26.33|23.70
CM-585|26.82|24.14
CM-599|43.81|39.43
CM-600|44.07|39.66
CM-601|44.53|40.08
CM-602|17.90|16.11
CM-603|17.69|15.92
CM-604|16.64|14.98
CM-606|16.74|15.07
CM-607|20.72|18.65
CM-608|18.53|16.68
CM-609|19.17|17.25
CM-610|19.85|17.87
CM-611|27.43|24.69
CM-613|28.84|25.96
CM-614|30.34|27.31
CM-615|27.63|24.86
CM-616|44.51|40.06
CM-617|47.17|42.45
CM-618|47.20|42.48
CM-619|46.96|42.27
CM-620|48.23|43.41
CM-621|31.70|28.53
CM-623|28.71|25.84
CM-626|19.78|17.80
CM-628|26.74|24.06
CM-630|26.70|24.03
CM-632|30.10|27.09
CM-633|28.38|25.55
CM-634|28.40|25.56
CM-635|30.26|27.23
CM-637|51.89|46.70
CM-638|51.95|46.75
CM-639|51.59|46.43
CM-640|51.48|46.33
CM-641|28.40|25.56
CM-609|19.17|17.25
CM-611|27.43|24.69
CM-613|28.84|25.96
CM-614|30.34|27.31
CM-615|27.63|24.86
CM-616|44.51|40.06
CM-618|47.20|42.48
AB-237|5.63|5.07
AB-261|5.63|5.07
AB-213|5.63|5.07
AB-207|5.63|5.07
AB-225|5.63|5.07
AB-219|5.63|5.07
AB-231|5.63|5.07
AB-201|5.63|5.07
AB-268|5.63|5.07
AB-214|5.63|5.07
AB-208|5.63|5.07
AB-226|5.63|5.07
AB-220|5.63|5.07
AB-232|5.63|5.07
AB-202|5.63|5.07
