SU-610|10.31|9.28
SU-613|18.41|16.57
SU-615|31.62|28.46
SU-616|44.89|40.40
SU-617|32.48|29.23
SU-618|50.84|45.76
SU-621|54.06|48.65
SU-623|65.15|58.64
SU-625|85.71|77.14
SU-704|7.14|6.43
SU-708|11.81|10.63
SU-712|21.61|19.45
SU-714|34.19|30.77
UL-003|1.86|1.67
UL-008|3.17|2.85
UL-010|5.40|4.86
UL-014|3.94|3.55
UL-016|7.44|6.70
UL-018|4.43|3.99
UL-020|5.21|4.69
UL-022|7.87|7.08
UL-023|14.02|12.62
UL-028|8.37|7.53
UL-029|11.74|10.57
UL-030|12.40|11.16
UL-031|20.54|18.49
UL-032|16.95|15.26
UL-034|23.02|20.72
UL-037|29.86|26.87
UL-204|2.33|2.10
UL-206|3.36|3.02
UL-208|4.77|4.29
UL-210|7.67|6.90
UL-213|12.27|11.04
SU-500|11.06|9.95
SU-502|11.22|10.10
SU-504|14.17|12.75
SU-507|14.58|13.12
SU-508|17.05|15.35
SU-515|16.84|15.16
SU-516|20.40|18.36
SU-520|23.44|21.10
SU-522|22.27|20.04
SU-524|27.21|24.49
SU-525|22.68|20.41
SU-527|27.52|24.77
UL-104|6.80|6.12
UL-107|6.68|6.01
UL-108|7.47|6.72
UL-115|8.05|7.25
UL-116|8.61|7.75
UL-120|15.48|13.93
UL-122|11.80|10.62
UL-125|12.85|11.57
UL-127|20.55|18.50
CM-501|14.53|13.08
CM-502|14.87|13.39
CM-503|14.82|13.34
CM-504|14.57|13.12
CM-505|15.58|14.03
CM-506|15.57|14.02
CM-509|22.22|20.00
CM-510|22.64|20.38
CM-511|23.40|21.06
CM-512|26.06|23.45
CM-513|22.24|20.01
CM-514|26.00|23.40
CM-515|25.38|22.84
CM-516|25.24|22.71
CM-517|34.49|31.05
CM-518|38.30|34.47
CM-519|38.40|34.56
CM-521|40.64|36.58
CM-522|40.52|36.47
CM-523|43.41|39.07
CM-524|43.80|39.42
CM-539|23.94|21.54
CM-540|25.32|22.79
CM-543|37.31|33.58
CM-544|37.31|33.58
CM-545|39.94|35.95
CM-546|40.39|36.35
CM-550|15.86|14.28
CM-551|15.86|14.28
CM-552|16.06|14.45
CM-553|16.52|14.87
CM-557|21.93|19.74
CM-558|22.02|19.82
CM-559|23.01|20.71
CM-560|25.83|23.25
CM-561|24.42|21.98
CM-563|24.94|22.44
CM-566|34.39|30.95
CM-568|38.00|34.20
CM-570|40.33|36.30
CM-571|38.14|34.33
CM-572|42.09|37.88
CM-573|41.11|37.00
CM-586|22.47|20.23
CM-588|24.33|21.90
CM-590|24.51|22.06
CM-577|12.55|11.29
CM-579|15.85|14.27
CM-580|16.51|14.86
CM-581|17.01|15.30
CM-584|22.57|20.31
CM-585|22.99|20.69
CM-599|37.55|33.80
CM-600|37.77|33.99
CM-601|38.17|34.35
CM-602|15.35|13.81
CM-603|15.16|13.65
CM-604|14.27|12.84
CM-606|14.35|12.91
CM-607|17.76|15.98
CM-608|15.88|14.29
CM-609|16.43|14.79
CM-610|17.02|15.31
CM-611|23.51|21.16
CM-613|24.72|22.25
CM-614|26.01|23.41
CM-615|23.68|21.31
CM-616|38.15|34.34
CM-617|40.43|36.38
CM-618|40.46|36.41
CM-619|40.25|36.23
CM-620|41.34|37.21
CM-621|27.17|24.45
CM-623|24.61|22.15
CM-626|16.95|15.26
CM-628|22.92|20.63
CM-630|22.89|20.60
CM-632|25.80|23.22
CM-633|24.33|21.90
CM-634|24.34|21.91
CM-635|25.94|23.34
CM-637|44.48|40.03
CM-638|44.53|40.07
CM-639|44.22|39.80
CM-640|44.13|39.71
CM-641|24.34|21.91
AM-509|74.31|66.88
AB-237|5.56|5.01
AB-261|5.56|5.01
AB-213|5.56|5.01
AB-207|5.56|5.01
AB-225|5.56|5.01
AB-219|5.56|5.01
AB-231|5.56|5.01
AB-201|5.56|5.01
AB-268|5.56|5.01
AB-214|5.56|5.01
AB-208|5.56|5.01
AB-226|5.56|5.01
AB-220|5.56|5.01
AB-232|5.56|5.01
AB-202|5.56|5.01
AB-237D|9.30|8.37
AB-213D|9.30|8.37
AB-207D|9.30|8.37
AB-225D|9.30|8.37
AB-219D|9.30|8.37
AB-231D|9.30|8.37
AB-201D|9.30|8.37
AM-240|5.56|5.01
AM-216|5.56|5.01
AM-210|5.56|5.01
AM-228|5.56|5.01
AM-222|5.56|5.01
AM-234|5.56|5.01
AM-204|5.56|5.01
AM-241|5.56|5.01
AM-217|5.56|5.01
AM-211|5.56|5.01
AM-229|5.56|5.01
AM-223|5.56|5.01
AM-235|5.56|5.01
AM-205|5.56|5.01
AB-500|67.05|60.34
AB-502|67.05|60.34
AM-501|67.05|60.34
AM-503|67.05|60.34
AM-507|28.40|25.56
AB-500D5|46.74|42.06
AB-500D|83.59|75.23
LE-301|1.65|1.49
