5953|0.01|6|33582|ECLIPSE
12073|0.01|2|33582|ECLIPSE
3321|0.01|1|33582|ECLIPSE
3320|0.01|2|33582|ECLIPSE
7807|0.01|16|33582|ECLIPSE
7015|0.01|1|33582|ECLIPSE
4783|0.01|48|33582|
4551|0.01|5|33582|
3955|0.01|65|33582|
3959|0.01||33582|
3985|0.01|55|33582|
3986|0.01|10|33582|
6523|0.01|44|33582|
6528|0.01|3|33582|
6504|0.01|4|33582|
6506|0.01|61|33582|
3927|0.01|31|33582|
3928|0.01|28|33582|
6514|0.01|4|33582|
3966|0.01|20|33582|
4127|0.01|18|33582|
3958|0.01|19|33582|
3999|0.01|14|33582|
4155|0.01|23|33582|
6170|0.01|5|33582|
4311|0.01|11|33582|
6159|0.01|6|33582|
4158|0.01|2|33582|
3993|0.01|23|33582|
6223|0.01|2|33582|
3929|0.01|16|33582|
3933|0.01|19|33582|
4968|0.01|3|33582|
4527|0.01|81|33582|
6479|0.01|23|33582|
4298|0.01|16|33582|
4419|0.01|47|33582|
4437|0.01|74|33582|
3964|0.01|2|33582|
6486|0.01|57|33582|
6488|0.01|64|33582|
6147|0.01|16|33582|
4441|0.01|31|33582|
4302|0.01|110|33582|
6483|0.01|11|33582|
6484|0.01|40|33582|
4862|0.01|2|33582|
7282|0.01|7|33582|
4435|0.01|30|33582|
5487|0.01|48|33582|
4407|0.01|33|33582|
4408|0.01|1|33582|
6318|0.01|19|33582|
4421|0.01|35|33582|
6358|0.01|22|33582|
4396|0.01|26|33582|
4042|0.01|1|33582|
4395|0.01|9|33582|
6340|0.01|13|33582|
6341|0.01|14|33582|
4412|0.01|17|33582|
4414|0.01|16|33582|
4429|0.01|39|33582|
6354|0.01|14|33582|
6359|0.01|36|33582|
4426|0.01|39|33582|
4402|0.01|35|33582|
6312|0.01|16|33582|
6352|0.01|8|33582|
6335|0.01|19|33582|
6327|0.01|22|33582|
3942|0.01|1|33582|
5194|0.01|33|33582|
3937|0.01|6|33582|
4159|0.01|5|33582|
6389|0.01|51|33582|
6383|0.01|40|33582|
3968|0.01|8|33582|
3967|0.01|67|33582|
3911|0.01|10|33582|
3907|0.01|31|33582|
6424|0.01|10|33582|
3906|0.01|41|33582|
6429|0.01|64|33582|
3910|0.01|2|33582|
6387|0.01|18|33582|
6390|0.01|32|33582|
3943|0.01|55|33582|
3944|0.01|27|33582|
